
Time    Lng    Lat    Alt    Yaw    Pitch    Roll
2020/05/29-23:36:07:592    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:07:696    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:07:801    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:07:901    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:004    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:104    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:205    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:303    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:400    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:509    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:607    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:712    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:807    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:08:907    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:016    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:117    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:217    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:315    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:418    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:520    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:624    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:721    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:825    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:09:925    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:029    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:130    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:232    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:333    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:434    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:536    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:636    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:734    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:835    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:10:939    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:041    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:138    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:238    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:341    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:444    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:546    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:646    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:745    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:846    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:11:945    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:050    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:153    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:261    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:356    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:459    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:560    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:660    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:759    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:861    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:12:965    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:13:070    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:13:168    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:13:271    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:13:371    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:13:473    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:13:573    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:13:674    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:13:873    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:13:976    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:14:082    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:14:283    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:14:390    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:14:587    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:14:687    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:14:796    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:14:892    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
